序号,消息id,发送方,消息格式,消息内容,时间
1,862606100000075,买家,text,在吗？,2026-06-01 08:42:11.376
1,862606100000146,买家,text,上个月买的还能补开发票不,2026-06-01 08:42:31.256
1,862606100000200,商家,text,3个月内的订单都可以补开哦，把订单号和抬头信息发我，这边帮您提交~,2026-06-01 08:43:18.977
1,862606100000288,买家,text,电子票就行,2026-06-01 08:44:59.752
1,862606100000363,商家,text,收到~已帮您提交开票申请，开好后第一时间发送给您，请留意查收哦❤,2026-06-01 08:45:18.928
2,862606100000436,买家,text,你好,2026-06-01 09:01:11.736
2,862606100000508,买家,text,七天无理由是从签收当天算吗？,2026-06-01 09:01:22.616
2,862606100000582,商家,text,在的在的，请讲~,2026-06-01 09:02:07.058
2,862606100000614,商家,text,您好，是从签收次日起算7天哦，期间未拆封可直接申请退货，运费险会自动理赔~,2026-06-01 09:02:17.073
2,862606100000704,买家,text,运费谁出？,2026-06-01 09:04:33.756
2,862606100000741,商家,text,质量/过敏问题运费我们承担；个人原因退货运费需要您承担哦，有运费险的话会自动理赔~,2026-06-01 09:05:52.939
3,862606100000778,买家,text,客服客服,2026-06-01 09:47:48.603
3,862606100000868,买家,text,订单20260609346556什么时候发货？都两天了,2026-06-01 09:48:04.843
3,862606100000932,买家,text,这客服是摆设吗,2026-06-01 09:52:46.416
3,862606100000974,商家,text,亲，已催仓库优先处理您的订单，发出后会短信通知，请留意物流信息~,2026-06-01 09:53:20.766
4,862606100001016,买家,text,你好,2026-06-01 10:24:30.317
4,862606100001103,买家,text,你们家神经酰胺修护面霜是正品吗？比专柜便宜好多,2026-06-01 10:24:36.024
4,862606100001192,商家,text,在的呢，您说~,2026-06-01 10:25:29.372
4,862606100001251,商家,text,您好~我们是品牌官方授权店铺，支持专柜验货，假一赔十，价格低是因为有平台补贴哦,2026-06-01 10:25:39.881
5,862606100001292,买家,text,回来评价一下，视黄醇抗皱晚霜真的好用，回购定了,2026-06-01 11:11:13.118
5,862606100001376,商家,text,感谢认可❤ 您的鼓励是我们最大的动力！老客回购记得领专属券哦~,2026-06-01 11:11:43.594
