gold\predicted,__invalid__,after_sale,authenticity_shelf_life,comparison,compatibility,efficacy,gift_sample,ingredient,invoice,logistics,logistics_delay,other,price,product_info,quality_issue,review,routine,safety_allergy,shade_color,skin_concern,skin_type,urge_shipment,usage
__invalid__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after_sale,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
authenticity_shelf_life,0,0,19,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2
comparison,0,0,3,6,1,0,0,1,0,0,0,0,5,6,0,0,1,0,0,0,5,0,0
compatibility,0,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
efficacy,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
gift_sample,0,6,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ingredient,0,0,0,0,0,0,0,27,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
invoice,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
logistics,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
logistics_delay,0,0,0,0,0,0,0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0
other,0,3,0,0,0,0,0,0,0,0,0,47,0,6,4,1,0,0,0,0,0,2,1
price,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0
product_info,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
quality_issue,0,8,0,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,0,0,0
review,0,10,0,0,0,0,0,0,0,0,0,9,2,0,0,7,0,0,0,0,0,0,0
routine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,7
safety_allergy,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,17,0,1,1,0,7
shade_color,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,24,0,1,0,1
skin_concern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,26,0,0,1
skin_type,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,2,0,4,19,0,0
urge_shipment,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,21,0
usage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,29
